Test Case ID|TC Author|Desc of TC|Expected outcome|Status|Test Mode|Scenarios|
sc1.1.1_l1_044|Christophe.Strobbe|A document with an image map. The image map has two areas (area elements), corresponding to two phrases in the image: one for the text "Reference" (top half of image) and one for the text "Audio Visual Lab" (bottom half). The alt attributes for the areas read "Reference" and "Audio Visual Lab", respectively.|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_045|Christophe.Strobbe|Document containing a single input field with an associated label; the label element does not contain any text.|fail|accepted QA|automatic|0|
sc1.1.1_l1_046|Christophe.Strobbe|Document containing a single input field with an associated label; the label element contains descriptive text.|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_047|Christophe.Strobbe|Document containing a single input field with an associated label; the label element contains only white space and a colon.|fail|accepted QA|oneExpert|0|
sc1.1.1_l1_048|Christophe.Strobbe|A document with a single sentence that contains a spacer image. The alt attribute for the spacer image reads: "big space".|fail|accepted QA|oneExpert|0|
sc1.1.1_l1_049|Christophe.Strobbe|A document with a single sentence that contains a spacer image. The alt attribute for the spacer image is empty.|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_050|Christophe.Strobbe|A document with a single sentence that contains a purely decorative image inside a link. The alt attribute for the spacer image reads: "green star".|fail|accepted QA|experts|0|
sc1.1.1_l1_051|Christophe.Strobbe|A document with a single sentence that contains a purely decorative image inside a link. The alt attribute is empty.|pass|accepted QA|experts|0|
sc1.1.1_l1_052|Christophe.Strobbe|Document containing an object element that embeds a video object without sound (MP4). There is no descriptive label nor a (longer) description associated with the object.|fail|accepted QA|automatic|0|
sc1.1.1_l1_053|Christophe.Strobbe|Document containing an object element that embeds a video-only object (MP4). A paragraph nested inside the object element briefly describes the actions in the video.|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_054|Christophe.Strobbe|Document containing an object element that embeds an audio-only object. There is no descriptive label nor a (longer) description associated with the object. Note that this is not "multimedia" according to WCAG 2.0 because the object contains only audio that is not synchronized with something else.|fail|accepted QA|automatic|0|
sc1.1.1_l1_055|Christophe.Strobbe|Document containing an object element that embeds an audio-only object. A paragraph with the following transcript nested inside the object element: "Audio content does not contain background sounds." Note that this is not "multimedia" according to WCAG 2.0 because the object contains only audio that is not synchronized with something else.|pass|accepted for end user evaluation|enduser|1|
sc1.1.1_l1_056|Christophe.Strobbe|Document containing an object element that embeds an audio-only object. There is no descriptive label nor a (longer) description associated with the object. Note that this is not "multimedia" according to WCAG 2.0 because the object contains only audio that is not synchronized with something else.|fail|accepted QA|automatic|0|
sc1.2.1_l1_001|evlach|Document containing a video object with no captions.|fail|accepted QA|oneExpert|0|
sc1.2.1_l1_002|evlach|Document containing a video object with captions.|pass|accepted QA|experts|0|
sc1.2.2_l1_001|evlach|Document containing a video object with no audio descriptions.|fail|accepted QA|automatic|0|
sc1.2.2_l1_002|evlach|Document containing a video object with audio description.|pass|accepted for end user evaluation|oneExpert|3|
sc1.2.3_l2_001|evlach|Document containing a single video object with no audio descriptions.|fail|accepted QA|oneExpert|0|
sc1.2.3_l2_002|evlach|Document containing a single object video with appropriate audio description.|pass|accepted by both validators|oneExpert|4|
sc1.2.3_l2_003|Daniela.Ortner|Document containing a link to a video file without audio descriptions. The video file is emulating a real-time video stream.|fail|accepted QA|oneExpert|0|
sc1.2.3_l2_004|Daniela.Ortner|Document containing a link to a video file with audio descriptions. The video file is emulating a real-time video stream.|pass|accepted for end user evaluation|experts|4|
sc1.2.4_l2_001|Daniela.Ortner|Document containing a link to a video file without captions. The video file is emulating a real-time video stream.|fail|accepted QA|oneExpert|0|
sc1.2.4_l2_002|Daniela.Ortner|Document containing a link to a video file with captions. The video file is emulating a real-time video stream.|pass|accepted for end user evaluation|oneExpert|3|
sc1.2.4_l2_003|Daniela.Ortner|Document containing a link to an audio file without captions. The audio file is emulating a real-time audio stream.|fail|accepted QA|oneExpert|0|
sc1.2.4_l2_004|Daniela.Ortner|Document containing a link to a audio file with captions. The audio file is emulating a real-time audio stream.|pass|accepted for end user evaluation|oneExpert|3|
sc1.2.5_l3_001|Daniela.Ortner|Document containing a link to a video file without sign language interpretation.|fail|accepted QA|oneExpert|0|
sc1.2.5_l3_002|Daniela.Ortner|Document containing a link to a video file with sign language interpretation.|pass|accepted for end user evaluation|oneExpert|2|
sc1.2.5_l3_003|Daniela.Ortner|Document containing a link to a video file with audio content that is not synchronised with sign language interpretation.|fail|rejected QA|enduser|2|
sc1.2.5_l3_004|Daniela.Ortner|Document containing a link to audio content which is synchronised with sign language interpretation.|fail|rejected QA|enduser|1|
sc1.2.6_l3_001|Daniela.Ortner|Document containing a link to a video file without extended audio descriptions.|fail|accepted QA|oneExpert|0|
sc1.2.6_l3_002|Daniela.Ortner|Document containing a link to a video file with extended audio descriptions.|pass|accepted QA|enduser|4|
sc1.2.7_l3_001|daniela.ortner|Document containing a link to a video file and a link to a text alternative. The text alternative is containing only the auditory content presented in the video.|fail|accepted QA|oneExpert|0|
sc1.2.7_l3_002|daniela.ortner|Document containing a link to a video file and a link to a text alternative. The text alternative is containing only the visual content presented in the video.|fail|accepted QA|oneExpert|0|
sc1.2.7_l3_003|daniela.ortner|Document containing a link to a video file and a link to a full multimedia text alternative. The text alternative is containing a description of the auditory as well as the visual content presented in the video.|pass|accepted QA|oneExpert|6|
sc1.3.1_l1_001|evlach|Document uses blockquote for text that is not necessarily a quotation, to give that text visual prominence.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_002|evlach|Document uses blockquote in a semantic way, to cite a quote from an external source.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_003|evlach|Document contains a q used for giving emphasis or formatting text.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_004|evlach|Document containing a q used for a short quotation.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_005|evlach|Document containing a b used for formatting text.|fail|rejected QA|automatic|0|
sc1.3.1_l1_006|evlach|Document containing a span and CSS for formatting to bold.|pass|rejected QA|automatic|0|
sc1.3.1_l1_007|evlach|Document containing an i element for formatting a text fragment that is intended to be emphasized.|fail|rejected QA|oneExpert|0|
sc1.3.1_l1_008|evlach|Document containing a span and CSS for formatting to italic.|pass|rejected QA|automatic|0|
sc1.3.1_l1_009|evlach|Document containing a tt for formatting a text fragment.|fail|rejected QA|automatic|0|
sc1.3.1_l1_010|evlach|Document containing a span and CSS for formatting to teletype.|pass|rejected QA|automatic|0|
sc1.3.1_l1_011|evlach|Document containing a small for formatting a text fragment.|fail|rejected QA|oneExpert|0|
sc1.3.1_l1_012|evlach|Document containing a span and CSS for formatting to small.|pass|rejected QA|oneExpert|0|
sc1.3.1_l1_013|evlach|Document containing a big for formatting a text fragment.|fail|rejected QA|oneExpert|0|
sc1.3.1_l1_014|evlach|Document containing a span and CSS for formatting to big font.|pass|rejected QA|oneExpert|0|
sc1.3.1_l1_015|evlach|Document containing hierarchical ordered lists, that cannot be followed logically.|fail|rejected QA|oneExpert|0|
sc1.3.1_l1_016|evlach|Document containing an ordered list, an unordered list and a definition list that all can be followed logically.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_017|evlach|Document containing an ordered list, an unordered list and a definition list that use line breaks and plain text characters instead of the corresponding HTML markup.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_018|evlach|Document containing table with no summary attribute.|fail|accepted QA|automatic|0|
sc1.3.1_l1_019|evlach|Document containing table with meaningful summary attribute.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_020|evlach|Document containing a table for layout. The table has no summary.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_021|evlach|Document containing a table for layout. The value of summary attribute is empty.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_022|evlach|Document containing data table with an inappropriate summary text.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_023|evlach|Document containing data table with meaningful summary text.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_024|evlach|Document containing data table with meaningless summary text.|fail|rejected QA|oneExpert|0|
sc1.3.1_l1_025|evlach|Document containing data table with meaningful summary text.|pass|rejected QA|oneExpert|0|
sc1.3.1_l1_026|evlach|Document containing table for layout with summary .|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_027|evlach|Document containing table for layout with empty summary.|pass|rejected QA|automatic|1|
sc1.3.1_l1_028|evlach|Document containing table for layout with no summary.|pass|rejected QA|automatic|1|
sc1.3.1_l1_029|evlach|Document containing a data table with no caption.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_030|evlach|Document containing a data table with caption.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_031|evlach|Document containing a group of navigation elements grouped by div.|fail|rejected QA|oneExpert|1|
sc1.3.1_l1_032|evlach|Document containing a group of navigation elements grouped by ul with no title.|fail|rejected QA|automatic|1|
sc1.3.1_l1_033|evlach|Document containing a group of navigation elements grouped by ul with title.|pass|rejected QA|automatic|1|
sc1.3.1_l1_034|evlach|Document containing group of navigation elements containing a group of navigation elements grouped by link.|fail|rejected QA|oneExpert|1|
sc1.3.1_l1_035|evlach|Document containing group of navigation elements containing a group of navigation elements grouped by link .|pass|rejected QA|oneExpert|1|
sc1.3.1_l1_036|evlach|Document containing a form with one input field (with type="text") and one label. The label is positioned next to the input field but is not explicitly associated with it.|fail|accepted QA|automatic|0|
sc1.3.1_l1_037|evlach|Document has an input field with type="text", and an associated label.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_038|evlach|Document has an input field with type="text", but no label present.|fail|accepted QA|automatic|0|
sc1.3.1_l1_039|evlach|Document has an input field with type="text", and an implicit label.|fail|accepted QA|automatic|0|
sc1.3.1_l1_040|evlach|Document has an input field with type="password", and a label, but they are not programmatically associated.|fail|accepted QA|automatic|0|
sc1.3.1_l1_041|evlach|Document has an input field with type="password", and an associated label.|pass|accepted QA|automatic|0|
sc1.3.1_l1_042|evlach|Document containing an input element type="password" with no associated label.|fail|accepted QA|automatic|0|
sc1.3.1_l1_043|evlach|Document containing an input element with type="password" with implicit label.|fail|accepted QA|automatic|0|
sc1.3.1_l1_044|evlach|Document containing an input element with type="checkbox" with no associated label.|fail|accepted QA|automatic|0|
sc1.3.1_l1_045|evlach|Document containing an input element with type="checkbox" with explicit associated label.|pass|accepted QA|automatic|1|
sc1.3.1_l1_046|evlach|Document containing an input element with type="checkbox" with not appropriate explicit associated label.|fail|accepted QA|automatic|0|
sc1.3.1_l1_047|evlach|Document containing a form with a checkbox (input element with type="checkbox") nested inside a label element. The label text appears before the checkbox.|pass|accepted by first validators|automatic|0|
sc1.3.1_l1_048|evlach|Document containing an input element with type="file" with no explicit associated label.|fail|accepted QA|automatic|0|
sc1.3.1_l1_049|evlach|Document containing an input element with type="file" with explicit associated label.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_050|evlach|Document containing an input element with type="file" with no associated label.|pass|accepted QA|automatic|0|
sc1.3.1_l1_051|evlach|Document containing an input element with type="file" with no implicit label.|fail|accepted QA|automatic|0|
sc1.3.1_l1_052|evlach|Document containing an input element with type="radio" with no explicit associated label.|fail|accepted QA|automatic|0|
sc1.3.1_l1_053|evlach|Document containing an input element with type="radio" with an explicit associated label.|pass|accepted QA|automatic|0|
sc1.3.1_l1_054|evlach|Document containing an input element with type="radio" with an explicit associated label.|pass|rejected QA|automatic|1|
sc1.3.1_l1_055|evlach|Document containing an input element with type="radio" with explicit associated label.|pass|rejected QA|automatic|1|
sc1.3.1_l1_056|evlach|Document containing an h1 for formatting and not for structuring.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_057|evlach|Document containing an h1 for structuring and not for formatting.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_058|evlach|Document containing an h2 for formatting and not for structuring.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_059|evlach|Document containing an h2 for structuring and not for formatting.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_060|evlach|Document containing an h3 for structuring and not for formatting.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_061|evlach|Document containing an h3 for structuring and not for formatting.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_062|evlach|Document containing an h4 for formatting and not for structuring.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_063|evlach|Document containing an h4 for structuring and not for formatting.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_064|evlach|Document containing an h5 for formatting and not for structuring.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_065|evlach|Document containing an h5 for structuring and not for formatting.|pass|accepted QA|oneExpert|0|
sc1.3.1_l1_066|evlach|Document containing an h6 for formatting and not for structuring.|fail|accepted QA|oneExpert|0|
sc1.3.1_l1_067|johannes.koch|Document containing a map with links.|pass|rejected QA|automatic|0|
sc1.3.1_l1_068|johannes.koch|Document containing a map with links and a skip link.|pass|rejected QA|automatic|0|
sc1.3.1_l1_101|evlach|Document containing a presentational element b where its presentation characteristic is used to convey information and/or relationship.|fail|accepted QA|experts|0|
sc1.3.1_l1_102|evlach|Document containing a presentational element b where its presentation characteristic is not used to convey information and/or relationship.|pass|accepted QA|experts|0|
sc1.3.1_l1_103|evlach|Document containing a span and CSS for formatting to bold.|pass|accepted QA|experts|0|
sc1.3.1_l1_104|evlach|Document containing a span and CSS in order to convey information (without appropriate semantic markup).|fail|accepted QA|experts|0|
sc1.3.1_l1_105|evlach|Document containing a strong element in order to convey information and CSS to enhance presentation.|pass|accepted QA|experts|0|
sc1.3.1_l1_106|evlach|Document containing a strong element in order to convey information but used incorrectly.|fail|accepted QA|experts|0|
sc1.3.1_l1_107|evlach|Document containing a presentational element strike where its presentation characteristic is used to convey information and/or relationship.|fail|accepted QA|experts|0|
sc1.3.1_l1_108|evlach|Presentational element strike where its presentation characteristic is purely decorative and convey no meaning at all.|pass|accepted QA|experts|0|
sc1.3.1_l1_109|evlach|Document containing CSS for formatting to strike.|pass|accepted by first validators|experts|0|
sc1.3.1_l1_110|evlach|Document containing CSS used to create a presentation that conveys information (without appropriate semantic markup).|fail|accepted QA|experts|0|
sc1.3.1_l1_111|evlach|Document containing del element and CSS to enhance the presentation.|pass|accepted QA|experts|0|
sc1.3.1_l1_112|evlach|Document containing del element used incorrectly.|fail|accepted QA|experts|0|
sc1.3.1_l1_113|evlach|Document containing the presentational element u where its presentation characteristic is used to convey information and/or relationship.|fail|accepted QA|experts|0|
sc1.3.1_l1_114|evlach|Document containing the presentational element u where its presentation characteristic is purely decorative and conveys no meaning at all.|pass|accepted QA|experts|0|
sc1.3.1_l1_115|evlach|Document containing CSS used for presentation characteristics that are purely decorative (i.e. not conveying meaning or relationships)|pass|accepted QA|experts|0|
sc1.3.1_l1_116|evlach|Document containing a span element and CSS used to create a presentation that conveys information (without appropriate semantic markup).|fail|accepted QA|experts|0|
sc1.3.1_l1_117|evlach|Document containing an em element and CSS to enhance presentation.|pass|accepted QA|experts|0|
sc1.3.1_l1_118|evlach|Document containing an em element that marks up all the content of a paragraph instead of only the part that needs to be emphasized.|fail|accepted QA|experts|0|
sc1.3.1_l1_119|evlach|Document containing the presentational element i where its presentation characteristic is used to convey information and/or relationship.|fail|accepted QA|experts|0|
sc1.3.1_l1_120|evlach|Document containing the presentational element i where its presentation characteristic is purely decorative and conveys no meaning at all.|pass|accepted QA|experts|0|
sc1.3.1_l1_121|evlach|Document containing CSS. This is purely decorative and conveys no meaning at all.|pass|accepted QA|experts|0|
sc1.3.1_l1_122|evlach|Document containing CSS used to create a presentation that conveys information (without appropriate semantic markup).|fail|accepted QA|experts|0|
sc1.3.1_l1_123|evlach|Document containing CSS used to enhance the presentation of semantic markup.|pass|accepted QA|experts|0|
sc1.3.1_l1_124|evlach|Document using semantic elements q and blockquote incorrectly.|fail|accepted QA|experts|0|
sc1.3.1_l1_125|evlach|Presentational element big where its presentation characteristic is used to convey information and/or relationship.|fail|accepted QA|experts|0|
sc1.3.1_l1_126|evlach|Presentational element big where its presentation characteristic is purely decorative and conveys no meaning at all|pass|accepted QA|experts|0|
sc1.3.1_l1_127|evlach|Document containing CSS used for presentation characteristics that are purely decorative (i.e. not conveying meaning or relationships).|pass|accepted QA|experts|0|
sc1.3.1_l1_128|evlach|CSS used to create a presentation that conveys information (without appropriate semantic markup)|fail|accepted QA|experts|0|
sc1.3.1_l1_129|evlach|CSS used to enhance the presentation of semantic markup.|pass|accepted QA|experts|0|
sc1.3.1_l1_130|evlach|Incorrect use of semantic tag used to convey information. Definition element should contain only the definition term.|fail|accepted QA|experts|0|
sc1.3.1_l1_131|evlach|Presentational element small where its presentation characteristic is used to convey information and/or relationship.|fail|accepted QA|experts|0|
