Test Case ID|TC title|TC description|TC purpose|Scenario ID|Disabilities|AT|User Agent|User Guidance|Question|Question Type
sc1.1.1_l1_011|Alternative text for object with image and image map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s04|blindness,low vision,|screenreader(exp=2),(version=);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image on the page?|yesNoOpenQuestion|
sc1.1.1_l1_011|Alternative text for object with image and image map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s05|blindness,low vision,|screenreader(exp=2),(version=);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image on the page?|yesNoOpenQuestion|
sc1.1.1_l1_011|Alternative text for object with image and image map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s06|blindness,low vision,|screenreader(exp=2),(version=);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6);||Did you understand what was in the image on the page?|yesNoOpenQuestion|
sc1.1.1_l1_012|Alternative text for object with both image and image map inside object|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s01|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_012|Alternative text for object with both image and image map inside object|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s02|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=2),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_012|Alternative text for object with both image and image map inside object|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s03|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_012|Alternative text for object with both image and image map inside object|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s04|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=2),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_012|Alternative text for object with both image and image map inside object|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s05|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_012|Alternative text for object with both image and image map inside object|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s06|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=2),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_012|Alternative text for object with both image and image map inside object|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s07|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_012|Alternative text for object with both image and image map inside object|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s08|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_012|Alternative text for object with both image and image map inside object|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s09|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_013|Alternative text for two nested objects with image map (below object) and image (inside object)|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s01|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_013|Alternative text for two nested objects with image map (below object) and image (inside object)|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s02|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_013|Alternative text for two nested objects with image map (below object) and image (inside object)|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s03|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_013|Alternative text for two nested objects with image map (below object) and image (inside object)|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s04|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_013|Alternative text for two nested objects with image map (below object) and image (inside object)|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s05|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_013|Alternative text for two nested objects with image map (below object) and image (inside object)|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s06|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_013|Alternative text for two nested objects with image map (below object) and image (inside object)|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s07|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_013|Alternative text for two nested objects with image map (below object) and image (inside object)|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s08|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_013|Alternative text for two nested objects with image map (below object) and image (inside object)|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s09|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_014|Alternative text for two nested objects with both image map and img element inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s01|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_014|Alternative text for two nested objects with both image map and img element inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s02|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_014|Alternative text for two nested objects with both image map and img element inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s03|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_014|Alternative text for two nested objects with both image map and img element inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s04|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_014|Alternative text for two nested objects with both image map and img element inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s05|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_014|Alternative text for two nested objects with both image map and img element inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s06|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_014|Alternative text for two nested objects with both image map and img element inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s07|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_014|Alternative text for two nested objects with both image map and img element inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s08|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_014|Alternative text for two nested objects with both image map and img element inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the innermost object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s09|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_015|Alternative text for two nested objects with image map inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains only the image map. The object elements do not have a title attribute or any other text alternative except the alt attributes of the map's area elements.|It is not entirely clear if this test case fails. The innermost object element does not contain an img element with an alt attribute, but it contains the image map, and each area in the image map has an alt attribute that conveys the same information as the area, and the image itself is identified in the text above it. In addition, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element.|s01|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_015|Alternative text for two nested objects with image map inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains only the image map. The object elements do not have a title attribute or any other text alternative except the alt attributes of the map's area elements.|It is not entirely clear if this test case fails. The innermost object element does not contain an img element with an alt attribute, but it contains the image map, and each area in the image map has an alt attribute that conveys the same information as the area, and the image itself is identified in the text above it. In addition, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element.|s02|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
